你好	hello
下午好	good afternoon
再见	goodbye
谢谢	thank you
不客气	you are welcome
对不起	i am sorry
请稍等	please wait
很高兴认识你	nice to meet you
我也很高兴认识你	nice to meet you too
一路平安	have a safe trip
我爱你	i love you
我非常爱你	i love you very much
我喜欢你	i like you
我想你了	i miss you
我理解你	i understand you
我需要你	i need you
我认识他	i know him
我认识她	i know her
这是我的朋友	this is my friend
他是我的老师	he is my teacher
我们是一家人	we are a family
他们正在聊天	they are talking
你好吗？	how are you?
我很好	i am fine
你叫什么名字？	what is your name?
我叫小明	my name is xiaoming
你来自哪里？	where are you from?
我来自中国	i am from china
你住在哪里？	where do you live?
我住在北京	i live in beijing
你多大了？	how old are you?
我二十岁	i am 20 years old
你会说英语吗？	can you speak english?
我会说一点英语	i can speak a little english
你明白了吗？	do you understand?
我不知道	i do not know
你在做什么？	what are you doing?
我正在学习	i am studying
我正在写代码	i am writing code
我正在读书	i am reading a book
我正在吃饭	i am eating
我正在喝水	i am drinking water
我正在听音乐	i am listening to music
我正在看电影	i am watching a movie
我正在休息	i am resting
我准备睡觉	i am going to sleep
你要去哪里？	where are you going?
我要去学校	i am going to school
我要回家	i am going home
我们一起走吧	let us go together
请打开门	please open the door
请把灯打开	please turn on the light
请把灯关掉	please turn off the light
请给我一杯水	please give me a glass of water
请帮我一下	please help me
我可以帮助你	i can help you
我想买这个	i want to buy this
这个多少钱？	how much is this?
这个十元	this is 10 yuan
太贵了	it is too expensive
可以便宜一点吗？	can it be cheaper?
我喜欢这个颜色	i like this color
我要两个	i want two
今天星期几？	what day is it today?
明天是星期二	tomorrow is tuesday
昨天是星期日	yesterday was sunday
现在几点？	what time is it?
现在八点	it is 8 o'clock
我早上七点起床	i get up at 7 in the morning
我晚上十一点睡觉	i go to bed at 11 at night
今天是九月二十四日	today is september 24
新年快乐！	happy new year!
生日快乐！	happy birthday!
今天天气很好	the weather is nice today
今天很热	it is hot today
今天很冷	it is cold today
外面下雨了	it is raining outside
外面下雪了	it is snowing outside
风很大	it is very windy
夏天很热	summer is hot
秋天很凉爽	autumn is cool
冬天会下雪	it snows in winter
我喜欢苹果	i like apples
我不喜欢香蕉	i do not like bananas
这杯咖啡很苦	this coffee is bitter
茶还很热	the tea is still hot
饭已经做好了	the meal is ready
我饿了	i am hungry
我渴了	i am thirsty
你想吃什么？	what do you want to eat?
我想吃米饭	i want to eat rice
我想喝咖啡	i want to drink coffee
请给我菜单	please give me the menu
味道很好	it tastes good
我吃饱了	i am full
这是什么？	what is this?
这是一本书	this is a book
那是一张桌子	that is a table
我的电脑在这里	my computer is here
你的手机在那里	your phone is there
钥匙在桌子上	the key is on the table
书在书包里	the book is in the bag
猫在椅子下面	the cat is under the chair
狗在门外	the dog is outside the door
房间很干净	the room is clean
我有一个问题	i have a question
请告诉我答案	please tell me the answer
这个问题很简单	this question is easy
这个问题有点难	this question is a little difficult
我需要更多时间	i need more time
我找到答案了	i found the answer
我说错了	i was wrong
我们再试一次	let us try again
程序开始运行	the program starts running
程序停止运行	the program stops running
代码没有报错	the code has no error
这里有一个错误	there is an error here
模型正在训练	the model is training
损失正在下降	the loss is decreasing
数据已经加载	the data is loaded
请保存模型	please save the model
请加载模型	please load the model
训练已经完成	training is complete
早上好	good morning
中午好	good afternoon
晚上好	good evening
晚安	good night
好久不见	long time no see
欢迎回来	welcome back
很高兴见到你	nice to meet you
明天见	see you tomorrow
下次见	see you next time
回头见	see you later
一路顺风	have a safe trip
祝你好运	good luck
祝你今天愉快	have a nice day
周末愉快	have a nice weekend
新年快乐	happy new year
生日快乐	happy birthday
圣诞快乐	merry christmas
谢谢你的帮助	thank you for your help
非常感谢	thank you very much
不用谢	you are welcome
没关系	it does not matter
对不起我迟到了	sorry i am late
请原谅我	please forgive me
打扰一下	excuse me
请再说一遍	please say it again
请说慢一点	please speak more slowly
请大声一点	please speak louder
我没有听清楚	i did not hear clearly
我没有听懂	i did not understand
你能解释一下吗	can you explain it
这是什么意思	what does this mean
这个怎么读	how do you read this
这个怎么写	how do you write this
你会说中文吗	can you speak chinese
我会说一点中文	i can speak a little chinese
你的英语很好	your english is very good
我还在学习	i am still learning
请给我一点时间	please give me some time
请稍等一下	please wait a moment
我马上回来	i will be right back
别着急	do not worry
慢慢来	take your time
请坐	please sit down
请进	please come in
请跟我来	please follow me
请看这里	please look here
请听我说	please listen to me
你先说	you go first
让我想一想	let me think
我想起来了	i remember now
我忘记了	i forgot
我不确定	i am not sure
我明白了	i understand now
我同意	i agree
我不同意	i disagree
你说得对	you are right
我觉得也是	i think so too
这听起来不错	that sounds good
这是个好主意	this is a good idea
